keys,en,fr,nl
signup.confirm.complements_are_added_automatically,"Complements are added automatically in your box, when you're supposed to be out of stock","",""
signup.confirm.daily_complement_quantities_are_written,"Daily complement quantities are written on the instruction card included in each box","",""
signup.confirm.nutrimix,"Nutrimix","",""
signup.confirm.nutrimix_is_our_vitamin,"Nutrimix is our vitamin and mineral complement making sure that your dog has all the required nutrients (including calcium, phosphor and pro- & pre-biotica)","",""
signup.confirm.omegamix,"Omega Mix","",""
signup.confirm.omegamix_is_our_oil,"Omega Mix is our oil complement offering all the necessary omega 3, omega 6 and EPA/DHA to your dog","",""
signup.confirm.natural_snacks_and_antlers,"Natural snacks and antlers","",""
signup.confirm.add_our_delicious_snacks,"Add our delicious snacks and antlers to your orders","",""
signup.confirm.last_question_where_have_you_heard_about_us,"Last question, where have you heard about us?","",""
signup.confirm.go_to_my_account,"Go to my account","",""
signup.confirm.x_will_get_y_gr_day,"{0} will get {1} gr/day","",""
signup.confirm.please_specify,"Please specify","",""
signup.confirm.who_gave_it_to_you,"Who gave it to you (name of the person/business)?","",""
success.signup_data_loaded,"Your customer and pets data has been loaded","",""
success.discount_will_be_applied_on_checkout,"Your discount will be applied during checkout","",""
success.x_portion_has_been_changed,"{0}'s portion has been changed","",""
success.payment_processed,"Your payment has been successfully processed","",""
errors.field_is_required,"This field is required","",""
errors.email_must_be_valid,"The email must be valid","",""
errors.email_already_exists,"The email already exists","",""
errors.field_must_be_at_least_x_characters,"This field must be at least {0} characters","",""
errors.mobile_is_invalid,"The mobile phone is invalid","",""
errors.email_not_found_try_a_different_or_start_again,"Email not found. Please try with a different email or start the signup process again.","",""
errors.account_already_exists,"You already have an account. Please sign in.","",""
errors.unable_to_find_referral,"We were unable to find your friend. Make sure you have spelled it correctly or try with an email address.","",""
errors.payment_failed,"Your payment failed. Please try again or use a different method.","",""
errors.payment_cancelled,"Your payment was cancelled","",""
errors.passwords_dont_match,"Passwords don't match","",""
customer.mr,"Mr","",""
customer.ms,"Ms","",""
customer.first_name,"First name","",""
customer.last_name,"Last name","",""
customer.email,"Email","",""
customer.password,"Password","",""
customer.confirm_password,"Confirm password","",""
customer.your_vet_name,"Your veterinarian's name","",""
customer.my_name_email_are,"My name and email are","",""
customer.i_have_coupon,"I have a coupon","",""
customer.i_agree_to_receive_emails,"I agree to receive customised nutrition advice for my pets and some promotional emails from Dog Chef. (You can unsubscribe easily, we will never sell your personal data)","",""
customer.i_have_been_referred_by_friend,"I have been referred by a friend","",""
customer.i_have_a_coupon_code,"I have a coupon code","",""
customer.enter_friend_name_or_email,"Enter your friend's name or email","",""
customer.enter_your_coupon_code,"Enter your coupon code","",""
customer.create_my_account,"Create my account","",""
order.coupon,"Coupon","",""
order.referral,"Referral","",""
order.coupon_code,"Coupon code","",""
order.enter_coupon,"Enter Coupon","",""
order.discount_x_off,"{0} OFF","",""
order.discount_applied_during_checkout,"Discount applied on your first order","",""
order.enter_your_coupon_code,"Enter your coupon code","",""
order.trial_box,"Trial box","",""
order.vitamins_and_minerals_supplements,"Vitamins & minerals supplements","",""
order.after_the_trial,"After the trial","",""
order.total_vat_incl,"Total (VAT incl.)","",""
order.free,"Free","",""
order.discount,"Discount","",""
order.delivery,"Delivery","",""
order.two_weeks_of_food_for,"2 weeks of food for","",""
order.content_of_trial_box,"Content of the trial box","",""
order.food_for_x,"Food for {0}","",""
order.qty_x_weight_of_food,"{0} x {1} gr of {2}","",""
order.review_my_order,"Review my order","",""
order.hide_order_details,"Hide order details","",""
order.pay,"Pay","",""
order.pay_by_x,"Pay by {0}","",""
order.secure_payment,"Secure payment","",""
order.by_paying_your_order_you_agree,"By paying your order, you agree with our","",""
order.i_authorise_DogChef_to_send_instructions_to_financial,"I authorise Dog Chef to send instructions to the financial institution that issued my card to take payments from my card account in accordance with the terms of my agreement with Dog Chef.","",""
delivery.select_your_delivery_country,"Select your delivery country","",""
delivery.free_delivery,"Free delivery","",""
delivery.delivered_by_dogchef,"Delivered by Dog Chef","",""
delivery.pickup_at_dogchef,"Pick-up at Dogchef","",""
delivery.enter_postalcode_to_see_options,"Enter your postal code to see available options","",""
delivery.we_dont_deliver_to,"Unfortunately, we do not deliver yet to {0} ({1})","",""
delivery.my_country_and_postalcode_are,"My country and postal code are","",""
delivery.dogchef_will_arrive_on,"Dog Chef box will arrive on","",""
delivery.dogchef_will_be_ready_for_pickup,"Dog Chef box will be ready for pick up on","",""
delivery.pickup_location,"Pickup location","",""
delivery.google_maps_location,"(See location on Google Maps)","",""
delivery.pickup_at_dogchef_kitchen,"Pickup at Dog Chef Kitchen","",""
delivery.home_delivery,"Home Delivery","",""
delivery.no_options_available,"No options available.","",""
delivery.first_delivery_date,"First delivery date","",""
delivery.delivery_timeframe,"Delivery timeframe","",""
delivery.x_will_be_your_regular_delivery_date,"<span class=""has-text-weight-semibold"">{0}</span> will be your regular delivery day. You can change this now or anytime after your order.","",""
delivery.your_order_will_be_ready_for_pickup,"Your order will be ready for pickup <span class=""has-text-weight-semibold"">from {0} to {1}</span>. It can be changed later.","",""
delivery.will_be_your_regular_pickup_date,"will be your regular pickup days. It can be changed later.","",""
delivery.by_external_partner,"By External Partner","",""
delivery.by_dogchef,"By Dog Chef","",""
delivery.if_you_want_to_be_delivered_at_home,"If you want your Dog Chef's box to be delivered at home, select another option on the previous step.","",""
delivery.send_my_dogchef_to,"Send my Dog Chef box to","",""
delivery.mobile_phone_for_the_carrier,"Mobile phone for the carrier","",""
delivery.name,"Name","",""
delivery.street,"Street","",""
delivery.number,"Number","",""
delivery.box,"Box","",""
delivery.postal_code,"Postal code","",""
delivery.city,"City","",""
delivery.country,"Country","",""
delivery.mobile_phone,"Mobile phone","",""
delivery.delivery_instructions,"Delivery instructions","",""
delivery.instructions_for_the_carrier,"Instructions for the carrier - Optional","",""
delivery.provice_instructions_for_the_carrier,"Provide delivery instructions for the carrier. E.g. The entrance is located just after the bakery.","",""
delivery.neighbor_contact,"Neighbor contact (max 100m)","",""
delivery.name_address_of_neighbor,"Name and address of your neighbor - Optional","",""
delivery.leave_neighbor_address,"You can leave a neighbor's address to deliver the package if the driver can not reach you, at a maximum of 250 meters from your home.","",""
delivery.what_if_im_not_at_home,"What if I'm not at home?","",""
delivery.if_youre_not_at_home_the_courier_will,"If you are not at home, the courier will contact you for instructions on where to leave your box.","",""
delivery.you_will_receive_delivery_instructions_by_sms,"You will receive delivery information by SMS and the courrier will try to reach you if there is a problem.","",""
plan.dogchef_at_every_meal,"Dog Chef at every meal","",""
plan.dogchef_mixed_another_food,"Mixed with another food","",""
plan.best_value,"Best value!","",""
plan.best_value_tooltip,"15% cheaper than the partial plan","",""
plan.selected_plan,"Selected plan","",""
plan.x_gr_y_kcal_per_day,"{0} gr ({1} kcal) per day","",""
plan.x_gr_y_kcal_per_halfday,"{0} gr ({1} kcal) per half-day","",""
plan.x_gr_per_day,"{0} gr per day","",""
plan.x_gr_per_halfday,"{0} gr per half-day","",""
plan.change_portion_weight,"Change portion weight","",""
plan.why_dogchef,"Why Dog Chef?","",""
plan.tailor_made_daily_portions,"Tailor-made daily portions","",""
plan.several_fresh_recipes,"Several fresh recipes to mix delights","",""
plan.free_delivery,"Free delivery","",""
plan.vitamins_and_minerals_incl,"Vitamins & Minerals supplements included","",""
plan.easily_change_delivery_dates,"Easily change delivery dates, portion size and recipes mix","",""
plan.no_commitment,"No commitment. Stop your plan whenever you want","",""
plan.change_portion_weight_notice,"Pricing depends on the portion weight defined. The recommended weight is based on age, breed, weight, activity level, body composition and sterilisation.","",""
plan.after_the_trial,"<span class=""has-text-weight-semibold"">{0} days of food</span> for {1} delivered every <span class=""has-text-weight-semibold"">{2} weeks</span> for <span class=""has-text-weight-semibold"">{3} €</span> per day including Vitamins & Minerals supplements.","",""
plan.change_anytime_after_trial,"Change delivery frequency, quantities, daily portion weight, recipes at anytime after your trial.","",""
plan.change_portion_warning,"{0}'s portions will be automatically adapted to his/her needs over time. If you change the daily portion weight, you will disable this feature and have to change them manually from your dogchef account.","",""
recipe.main_ingredients_percent_draw,"Main ingredients (% raw)","",""
recipe.nutritional_data_percent_dry,"Nutritional data (% dry material)","",""
recipe.not_recommended_because_allergy,"This recipe is not recommended because {0} does not like or is allergic to ","",""
recipe.not_recommended_because_pathology,"This recipe is not recommended because {0} has ","",""
recipe.do_you_want_to_add_this_recipe,"Do you want to add this recipe anyway?","",""
recipe.nutrients.protein,"Protein","",""
recipe.nutrients.protein_from_animal,"Protein from animal sources","",""
recipe.nutrients.water,"Water","",""
recipe.nutrients.fat,"Fat","",""
recipe.nutrients.carbohydrate,"Carbohydrate","",""
recipe.nutrients.ash,"Ash","",""
recipe.nutrients.fibers,"Fibers","",""
recipe.nutrients.sugars,"Sugars","",""
recipe.nutrients.ca/p,"Ca/P","",""
recipe.nutrients.calcium,"Calcium","",""
recipe.nutrients.phosphorus,"Phosphorus","",""
recipe.nutrients.energy,"Energy","",""
pet.age_in_months,"Age (months)","",""
pet.expected_weight,"Expected Weight (kg)","",""
pet.recommended_daily_portion,"Recommended Daily Portion","",""
pet.adult,"Adult","",""
pet.an_adult,"An adult","",""
pet.a_puppy,"A puppy","",""
pet.change_portion_anyway,"Change Portion Anyway","",""
pet.x_growth_curve,"{0}'s Growth Curve","",""
pet.x_weighs,"{0} weighs about...","",""
pet.i_feed_mainly_x_with,"I feed {0} mainly with","",""
pet.too_heavy,"We can’t estimate the adult weight of your puppy based on the age and current weight","",""
